LANGUAGE,"English","Czech","German","Polish","Russian","French","Spanish","Italian"

EVO_000,You must be a leader to request an assignment,You must be a leader to request an assignment,Sie müssen ein Führer sein, um einen Einsatzbefehl zu erhalten,You must be a leader to request an assignment,You must be a leader to request an assignment,You must be a leader to request an assignment,You must be a leader to request an assignment,You must be a leader to request an assignment
EVO_001,You must finnish your current assignment before you can request a new one,You must finnish your current assignment before you can request a new one,Sie müssen Ihren gegenwärtigen Einsatz beenden bevor Sie einen neuen Einsatz starten können,You must finnish your current assignment before you can request a new one,You must finnish your current assignment before you can request a new one,You must finnish your current assignment before you can request a new one,You must finnish your current assignment before you can request a new one
EVO_002,CSAR: Mission Failed\nBoth pilots dead,Mission Failed\nBoth pilots dead,Mission gescheitert\nbeide Piloten sind tot,Mission Failed\nBoth pilots dead,Mission Failed\nBoth pilots dead,Mission Failed\nBoth pilots dead,Mission Failed\nBoth pilots dead,Mission Failed\nBoth pilots dead
EVO_003,Hint: In this building you can select missions for your squad if you are a leader. The score you would get for each mission is the last 2 digits of the mission code. Higher value missions are harder and further. 10 of these missions must be completed to end the campaign.,In this building you can select missions for your squad if you are a leader. The score you would get for each mission is the last 2 digits of the mission code. Higher value missions are harder and further. 10 of these missions must be completed to end the campaign.,In diesem Gebäude können Sie Missionen für Ihre Gruppe (wenn Sie Führer sind) auswählen. Die Punkte die Sie für jede Mission bekommen sind die letzten 2 Stellen des Missionscodes. Höherwertige Wertmissionen sind schwerer. 10 dieser Missionen müssen durchgeführt werden um die Kampagne zu beenden.,In this building you can select missions for your squad if you are a leader. The score you would get for each mission is the last 2 digits of the mission code. Higher value missions are harder and further. 10 of these missions must be completed to end the campaign.,In this building you can select missions for your squad if you are a leader. The score you would get for each mission is the last 2 digits of the mission code. Higher value missions are harder and further. 10 of these missions must be completed to end the campaign.,In this building you can select missions for your squad if you are a leader. The score you would get for each mission is the last 2 digits of the mission code. Higher value missions are harder and further. 10 of these missions must be completed to end the campaign.,In this building you can select missions for your squad if you are a leader. The score you would get for each mission is the last 2 digits of the mission code. Higher value missions are harder and further. 10 of these missions must be completed to end the campaign.,In this building you can select missions for your squad if you are a leader. The score you would get for each mission is the last 2 digits of the mission code. Higher value missions are harder and further. 10 of these missions must be completed to end the campaign.
EVO_004,You cannot set the squad waypoint when on a mission,You cannot set the squad waypoint when on a mission,Sie können keinen Wegpunkt für die Gruppen setzen wenn Sie sich auf einer Mission befinden,You cannot set the squad waypoint when on a mission,You cannot set the squad waypoint when on a mission,You cannot set the squad waypoint when on a mission,You cannot set the squad waypoint when on a mission,You cannot set the squad waypoint when on a mission
EVO_005,Squad Waypoint Set,Squad Waypoint Set,Wegpunkt für die Gruppe setzen,Squad Waypoint Set,Squad Waypoint Set,Squad Waypoint Set,Squad Waypoint Set,Squad Waypoint Set
EVO_006,As you gain higher ranks more weapons will become available in all ammo boxes.,As you gain higher ranks more weapons will become available in all ammo boxes.,Mit steigendem Rang werden mehr Waffen in den Munititonskisten verfügbar.,As you gain higher ranks more weapons will become available in all ammo boxes.,As you gain higher ranks more weapons will become available in all ammo boxes.,As you gain higher ranks more weapons will become available in all ammo boxes.,As you gain higher ranks more weapons will become available in all ammo boxes.,As you gain higher ranks more weapons will become available in all ammo boxes.
EVO_007,In this building you can transfer to another players squad should you not want to be a leader.,In this building you can transfer to another players squad should you not want to be a leader.,In diesem Gebäude können Sie zu einer anderen Gruppe wechseln wenn Sie nicht ein Führer sein möchten,In this building you can transfer to another players squad should you not want to be a leader.,In this building you can transfer to another players squad should you not want to be a leader.,In this building you can transfer to another players squad should you not want to be a leader.,In this building you can transfer to another players squad should you not want to be a leader.
EVO_008,In this building you can select missions for your squad if you are a leader. The score you would get for each mission is the last two digits of the mission code. Higher value missions are harder and further. 10 of these missions must be completed to end the campaign.,In this building you can select missions for your squad if you are a leader. The score you would get for each mission is the last two digits of the mission code. Higher value missions are harder and further. 10 of these missions must be completed to end the campaign.,In diesem Gebäude können Sie Missionen für Ihre Gruppe (wenn Sie Führer sind) auswählen. Die Punkte die Sie für jede Mission bekommen sind die letzten 2 Stellen des Missionscodes. Höherwertige Wertmissionen sind schwerer. 10 dieser Missionen müssen durchgeführt werden um die Kampagne zu beenden.,In this building you can select missions for your squad if you are a leader. The score you would get for each mission is the last two digits of the mission code. Higher value missions are harder and further. 10 of these missions must be completed to end the campaign.,In this building you can select missions for your squad if you are a leader. The score you would get for each mission is the last two digits of the mission code. Higher value missions are harder and further. 10 of these missions must be completed to end the campaign.,In this building you can select missions for your squad if you are a leader. The score you would get for each mission is the last two digits of the mission code. Higher value missions are harder and further. 10 of these missions must be completed to end the campaign.,In this building you can select missions for your squad if you are a leader. The score you would get for each mission is the last two digits of the mission code. Higher value missions are harder and further. 10 of these missions must be completed to end the campaign.,In this building you can select missions for your squad if you are a leader. The score you would get for each mission is the last two digits of the mission code. Higher value missions are harder and further. 10 of these missions must be completed to end the campaign.
